Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1	Start Coord	End Coord	Scaffold ID	COG	Pfam	
3300035976 assembled Ga0393395_02_17144_18286	null	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	3300035976	Sorted cell/s from microbial mat in Octopus Spring, Yellowstone National Park, Wyoming, United States - Uncultured microbe JGI_YuBhay.Octo05.RedA.02.D17 (*) (MER-FS) (assembled)	6	17144	18286	Ga0393395_02	COG0821===4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE	pfam04551===GcpE protein	
3300032356 assembled Ga0308414_10051782	Ga0308414_10051782	16S rRNA (cytidine1402-2'-O)-methyltransferase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	1234	2331	Ga0308414_1005178	COG0313===16S rRNA C1402 (ribose-2'-O) methylase RsmI	pfam00590===Tetrapyrrole (Corrin/Porphyrin) Methylases	
3300032356 assembled Ga0308414_100028327	Ga0308414_100028327	16S rRNA (guanine527-N7)-methyltransferase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	26789	27520	Ga0308414_1000283	COG0357===16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	pfam02527===rRNA small subunit methyltransferase G	
3300032356 assembled Ga0308414_100069513	Ga0308414_100069513	2-isopropylmalate synthase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	13954	15663	Ga0308414_1000695	COG0119===Isopropylmalate/homocitrate/citramalate synthases	pfam08502===LeuA allosteric (dimerisation) domain	
3300032356 assembled Ga0308414_100008331	Ga0308414_100008331	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	49165	50019	Ga0308414_1000083	COG2227===2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	pfam08241===Methyltransferase domain	
3300032356 assembled Ga0308414_100003135	Ga0308414_100003135	23S rRNA (adenine2503-C2)-methyltransferase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	40556	41605	Ga0308414_1000031	COG0820===Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37	pfam04055===Radical SAM superfamily	
3300032356 assembled Ga0308414_1000006117	Ga0308414_1000006117	3,4-dihydroxy 2-butanone 4-phosphate synthase/GTP cyclohydrolase II	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	6	139291	140502	Ga0308414_1000006	COG0807===GTP cyclohydrolase II	pfam00926===3,4-dihydroxy-2-butanone 4-phosphate synthase	
3300032356 assembled Ga0308414_100103110	Ga0308414_100103110	3-hydroxyisobutyrate dehydrogenase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	9936	10838	Ga0308414_1001031	COG2084===3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	pfam14833===NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	
3300032356 assembled Ga0308414_10302791	Ga0308414_10302791	3-oxoacyl-[acyl-carrier protein] reductase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	3	722	Ga0308414_1030279	COG1028===NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	pfam13561===Enoyl-(Acyl carrier protein) reductase	
3300032356 assembled Ga0308414_100017410	Ga0308414_100017410	3-oxoacyl-[acyl-carrier protein] reductase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	9651	10373	Ga0308414_1000174	COG1028===NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	pfam13561===Enoyl-(Acyl carrier protein) reductase	
3300032356 assembled Ga0308414_100092220	Ga0308414_100092220	4-amino-4-deoxy-L-arabinose transferase-like glycosyltransferase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	17113	19176	Ga0308414_1000922	COG1807===4-amino-4-deoxy-L-arabinose transferase or related glycosyltransferase of PMT family	pfam13231===Dolichyl-phosphate-mannose-protein mannosyltransferase	
3300032356 assembled Ga0308414_10361223	Ga0308414_10361223	6-phosphofructokinase 1	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	1732	2238	Ga0308414_1036122	COG0205===6-phosphofructokinase		
3300032356 assembled Ga0308414_10069765	Ga0308414_10069765	6-phosphogluconolactonase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	4966	6180	Ga0308414_1006976	COG2706===6-phosphogluconolactonase, cycloisomerase 2 family	pfam10282===Lactonase, 7-bladed beta-propeller	
