Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1	Start Coord	End Coord	Scaffold ID	COG	Pfam	
3300033886 assembled Ga0308413_000050_8032_9948	Ga0308413_7403	1,4-alpha-glucan branching enzyme	3300033886	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090729_t10cd (*) (MER-FS) (assembled)	2	8032	9948	Ga0308413_000050	COG0296===1,4-alpha-glucan branching enzyme	pfam02922===Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	
3300032058 assembled Ga0308419_100017510	Ga0308419_100017510	1,4-alpha-glucan branching enzyme	3300032058	Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20090730_MS50 (*) (MER-FS) (assembled)	2	6646	8562	Ga0308419_1000175	COG0296===1,4-alpha-glucan branching enzyme	pfam02922===Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	
3300031950 assembled Ga0308417_100002499	Ga0308417_100002499	1,4-alpha-glucan branching enzyme	3300031950	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS65 (*) (MER-FS) (assembled)	2	126373	128289	Ga0308417_1000024	COG0296===1,4-alpha-glucan branching enzyme	pfam02922===Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	
3300031958 assembled Ga0308410_100078713	Ga0308410_100078713	1,4-alpha-glucan branching enzyme	3300031958	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20070728_OST2-MatCore (*) (MER-FS) (assembled)	2	12338	14470	Ga0308410_1000787	COG3280===Maltooligosyltrehalose synthase	pfam02922===Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	
3300031514 assembled Ga0308390_100005712	Ga0308390_100005712	1,4-alpha-glucan branching enzyme	3300031514	Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20040719_149 (*) (MER-FS) (assembled)	2	8030	9946	Ga0308390_1000057	COG0296===1,4-alpha-glucan branching enzyme	pfam02922===Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	
3300031783 assembled Ga0308418_100005175	Ga0308418_100005175	1,4-dihydroxy-6-naphthoate synthase	3300031783	Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20090729_R4cd (*) (MER-FS) (assembled)	2	72703	73539	Ga0308418_1000051	COG2107===Predicted periplasmic solute-binding protein	pfam02621===Menaquinone biosynthesis	
3300031950 assembled Ga0308417_100014241	Ga0308417_100014241	1-acyl-sn-glycerol-3-phosphate acyltransferase	3300031950	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS65 (*) (MER-FS) (assembled)	2	43018	43779	Ga0308417_1000142	COG0204===1-acyl-sn-glycerol-3-phosphate acyltransferase	pfam01553===Acyltransferase	
3300031950 assembled Ga0308417_10001425	Ga0308417_10001425	1-deoxy-D-xylulose-5-phosphate synthase	3300031950	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS65 (*) (MER-FS) (assembled)	2	4490	6424	Ga0308417_1000142	COG1154===Deoxyxylulose-5-phosphate synthase	pfam13292===1-deoxy-D-xylulose-5-phosphate synthase	
3300031966 assembled Ga0308420_100002627	Ga0308420_100002627	16S rRNA (cytidine1402-2'-O)-methyltransferase	3300031966	Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20090730_MS55 (*) (MER-FS) (assembled)	2	27243	28073	Ga0308420_1000026	COG0313===16S rRNA C1402 (ribose-2'-O) methylase RsmI	pfam00590===Tetrapyrrole (Corrin/Porphyrin) Methylases	
3300031865 assembled Ga0308408_10001549	Ga0308408_10001549	16S rRNA (guanine527-N7)-methyltransferase	3300031865	Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20060912_MSe3 (*) (MER-FS) (assembled)	2	7001	7657	Ga0308408_1000154	COG0357===16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	pfam02527===rRNA small subunit methyltransferase G	
3300031567 assembled Ga0308391_100003143	Ga0308391_100003143	16S rRNA (guanine527-N7)-methyltransferase	3300031567	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20050623_t1 (*) (MER-FS) (assembled)	2	42740	43396	Ga0308391_1000031	COG0357===16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	pfam02527===rRNA small subunit methyltransferase G	
3300031950 assembled Ga0308417_100095112	Ga0308417_100095112	16S rRNA (uracil1498-N3)-methyltransferase	3300031950	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS65 (*) (MER-FS) (assembled)	2	12425	13177	Ga0308417_1000951	COG1385===16S rRNA U1498 N3-methylase RsmE	pfam04452===RNA methyltransferase	
